process name,variable name,mean value,unit
Access Network,I_Acc,0.02010425952299257,joule / megabit
Access Network,carbon,27522.799202630296,kilogram
Access Network,carbon_intensity,396.3724950469389,gram / kilowatt_hour
Access Network,datavolume_Tx_CDN,1.995149253869607e+17,baud * minute
Access Network,energy,68197.41210474365,kilowatt_hour
Access Network,viewing_time,117858977327.68585,minute
Content Delivery Network,I_Tx,17.4725121461742,joule / gigabit
Content Delivery Network,cachemiss_rate,0.30310120420844855,dimensionless
Content Delivery Network,carbon,28324.678687094103,kilogram
Content Delivery Network,carbon_intensity,396.3724950469389,gram / kilowatt_hour
Content Delivery Network,datavolume_Rx_CDN,5.949476993887171e+16,baud * minute
Content Delivery Network,datavolume_Tx_CDN,1.995149253869607e+17,baud * minute
Content Delivery Network,energy,70182.2335776546,kilowatt_hour
Content Delivery Network,energy_CDN_Rx,9.672438002366934e+17,baud * joule * minute / gigabit
Content Delivery Network,energy_CDN_Tx,3.2436902144225505e+18,baud * joule * minute / gigabit
Core Network,I_Core,0.0282286111464385,joule / megabit
Core Network,carbon,36121.52423581397,kilogram
Core Network,carbon_intensity,396.3724950469389,gram / kilowatt_hour
Core Network,datavolume_Tx_CDN,1.995149253869607e+17,baud * minute
Core Network,energy,89528.32904695872,kilowatt_hour
Core Network,viewing_time,117858977327.68585,minute
Origin Datacentre,I_Tx,17.4725121461742,joule / gigabit
Origin Datacentre,carbon,6507.9757022698695,kilogram
Origin Datacentre,carbon_intensity,396.3724950469389,gram / kilowatt_hour
Origin Datacentre,datavolume_Rx_CDN,5.949476993887171e+16,baud * minute
Origin Datacentre,energy,16120.730003944978,kilowatt_hour
Origin Datacentre,energy_serving,9.672438002366934e+17,baud * joule * minute / gigabit
TV,bitrate,1695685.9488734566,baud
TV,carbon,5378879.751690196,kilogram
TV,carbon_intensity,396.3724950469389,gram / kilowatt_hour
TV,daily_audience,7585098.254001164,dimensionless
TV,datavolume_Tx_CDN,1.995149253869607e+17,baud * minute
TV,energy,13333540.062939221,kilowatt_hour
TV,energy_decoding,800012403776.3534,minute * watt
TV,power_decoding,6.670496521553839,watt
TV,viewing_time,117858977327.68585,minute
