process name,variable name,mean value,unit
Access Network,I_Acc,0.020009690597793124,joule / megabit
Access Network,carbon,13.804633402362809,kilogram
Access Network,carbon_intensity,182.8124366392604,gram / kilowatt_hour
Access Network,datavolume_Tx_CDN,220986713900271.0,baud * minute
Access Network,energy,73.59395343920565,kilowatt_hour
Content Delivery Network,I_Store,288.39939698521283,joule / terabit
Content Delivery Network,I_Tx,11.908457222389414,joule / gigabit
Content Delivery Network,cachemiss_rate,0.29425818164717316,dimensionless
Content Delivery Network,carbon,10.702266229676365,kilogram
Content Delivery Network,carbon_intensity,182.8124366392604,gram / kilowatt_hour
Content Delivery Network,datavolume_Rx_CDN,65105118692416.875,baud * minute
Content Delivery Network,datavolume_Tx_CDN,220986713900271.0,baud * minute
Content Delivery Network,energy,57.05558501486895,kilowatt_hour
Content Delivery Network,energy_CDN_Rx,775003408750910.1,baud * joule * minute / gigabit
Content Delivery Network,energy_CDN_Tx,2629551428072959.5,baud * joule * minute / gigabit
Content Delivery Network,energy_storage,1.8780264068189856e+16,baud * joule * minute / terabit
Core Network,I_Core,0.01961020969625003,joule / megabit
Core Network,carbon,13.525513150059512,kilogram
Core Network,carbon_intensity,182.8124366392604,gram / kilowatt_hour
Core Network,datavolume_Tx_CDN,220986713900271.0,baud * minute
Core Network,energy,72.10575952374651,kilowatt_hour
Origin Datacentre,I_Store,288.39939698521283,joule / terabit
Origin Datacentre,I_Tx,11.908457222389414,joule / gigabit
Origin Datacentre,carbon,2.4815622847100283,kilogram
Origin Datacentre,carbon_intensity,182.8124366392604,gram / kilowatt_hour
Origin Datacentre,datavolume_Rx_CDN,65105118692416.875,baud * minute
Origin Datacentre,energy,13.229727880318544,kilowatt_hour
Origin Datacentre,energy_serving,775003408750910.1,baud * joule * minute / gigabit
Origin Datacentre,energy_storage,1.8780264068189856e+16,baud * joule * minute / terabit
TV,bitrate,4955913.868676817,baud
TV,carbon,12946.669097461201,kilogram
TV,carbon_intensity,182.8124366392604,gram / kilowatt_hour
TV,daily_audience,29503028.495809935,dimensionless
TV,datavolume_Tx_CDN,220986713900271.0,baud * minute
TV,energy,69019.09938011492,kilowatt_hour
TV,energy_decoding,4141145962.8068805,minute * watt
TV,power_decoding,92.87155274760991,watt
TV,viewing_time,44578837.835198075,minute
